date,step
12月1日,7821
12月2日,12111
12月3日,6552
12月4日,4657
12月5日,10987
12月6日,6436
12月7日,10101
12月8日,7062
12月9日,13139
12月10日,60
12月11日,8429
12月12日,11737
12月13日,12389
12月14日,8714
12月15日,13895
12月16日,12166
12月17日,4362
12月18日,534
12月19日,14747
12月20日,9629
12月21日,19165
12月22日,11596
12月23日,11374
12月24日,8718
12月25日,9536
12月26日,4058
12月27日,3918
12月28日,801
12月29日,942
12月30日,3066
12月31日,8046
